_op,TeachingGroupEventLocalId,Organisation.RefId,TeachingGroup.LocalId,Schedule.LocalId,SchedulePeriod.LocalId,AcademicDay.LocalId,TakeAttendanceFlag
upsert,2020_8005_JR_Normal_AM,8005,2020_8005_JR,8005_Sched_2020,8005_AM,8005_Normal,Y
upsert,2020_8005_JR_Normal_PM,8005,2020_8005_JR,8005_Sched_2020,8005_PM,8005_Normal,Y
upsert,2020_8005_HR3_Normal_AM,8005,2020_8005_HR3,8005_Sched_2020,8005_AM,8005_Normal,Y
upsert,2020_8005_HR3_Normal_PM,8005,2020_8005_HR3,8005_Sched_2020,8005_PM,8005_Normal,Y
upsert,2020_8005_HR4_Normal_AM,8005,2020_8005_HR4,8005_Sched_2020,8005_AM,8005_Normal,Y
upsert,2020_8005_HR4_Normal_PM,8005,2020_8005_HR4,8005_Sched_2020,8005_PM,8005_Normal,Y
upsert,2020_8005_HR5_Normal_AM,8005,2020_8005_HR5,8005_Sched_2020,8005_AM,8005_Normal,Y
upsert,2020_8005_HR5_Normal_PM,8005,2020_8005_HR5,8005_Sched_2020,8005_PM,8005_Normal,Y
upsert,2020_8005_HR6_Normal_AM,8005,2020_8005_HR6,8005_Sched_2020,8005_AM,8005_Normal,Y
upsert,2020_8005_HR6_Normal_PM,8005,2020_8005_HR6,8005_Sched_2020,8005_PM,8005_Normal,Y
upsert,2020_8005_HR7_HR8_Normal_AM,8005,2020_8005_HR7_HR8,8005_Sched_2020,8005_AM,8005_Normal,Y
upsert,2020_8005_HR7_HR8_Normal_PM,8005,2020_8005_HR7_HR8,8005_Sched_2020,8005_PM,8005_Normal,Y
upsert,2020_8006_JR_Normal_AM,8006,2020_8006_JR,8006_Sched_2020,8006_AM,8006_Normal,Y
upsert,2020_8006_JR_Normal_PM,8006,2020_8006_JR,8006_Sched_2020,8006_PM,8006_Normal,Y
upsert,2020_8006_HR3_Normal_AM,8006,2020_8006_HR3,8006_Sched_2020,8006_AM,8006_Normal,Y
upsert,2020_8006_HR3_Normal_PM,8006,2020_8006_HR3,8006_Sched_2020,8006_PM,8006_Normal,Y
upsert,2020_8006_HR4_HR5_Normal_AM,8006,2020_8006_HR4_HR5,8006_Sched_2020,8006_AM,8006_Normal,Y
upsert,2020_8006_HR4_HR5_Normal_PM,8006,2020_8006_HR4_HR5,8006_Sched_2020,8006_PM,8006_Normal,Y
upsert,2020_8006_HR6_Normal_AM,8006,2020_8006_HR6,8006_Sched_2020,8006_AM,8006_Normal,Y
upsert,2020_8006_HR6_Normal_PM,8006,2020_8006_HR6,8006_Sched_2020,8006_PM,8006_Normal,Y
upsert,2020_8007_HR9_Day_A,8007,2020_8007_HR9,8007_Sched_2020,8007_HR,8007_Day_A,Y
upsert,2020_8007_HR9_Day_B,8007,2020_8007_HR9,8007_Sched_2020,8007_HR,8007_Day_B,Y
upsert,2020_8007_HR9_Day_C,8007,2020_8007_HR9,8007_Sched_2020,8007_HR,8007_Day_C,Y
upsert,2020_8007_HR9_Day_D,8007,2020_8007_HR9,8007_Sched_2020,8007_HR,8007_Day_D,Y
upsert,2020_8007_HR9_Day_E,8007,2020_8007_HR9,8007_Sched_2020,8007_HR,8007_Day_E,Y
upsert,2020_8007_HR9_Day_F,8007,2020_8007_HR9,8007_Sched_2020,8007_HR,8007_Day_F,Y
upsert,2020_8007_HR10_Day_A,8007,2020_8007_HR10,8007_Sched_2020,8007_HR,8007_Day_A,Y
upsert,2020_8007_HR10_Day_B,8007,2020_8007_HR10,8007_Sched_2020,8007_HR,8007_Day_B,Y
upsert,2020_8007_HR10_Day_C,8007,2020_8007_HR10,8007_Sched_2020,8007_HR,8007_Day_C,Y
upsert,2020_8007_HR10_Day_D,8007,2020_8007_HR10,8007_Sched_2020,8007_HR,8007_Day_D,Y
upsert,2020_8007_HR10_Day_E,8007,2020_8007_HR10,8007_Sched_2020,8007_HR,8007_Day_E,Y
upsert,2020_8007_HR10_Day_F,8007,2020_8007_HR10,8007_Sched_2020,8007_HR,8007_Day_F,Y
upsert,2020_8007_HR11_Day_A,8007,2020_8007_HR11,8007_Sched_2020,8007_HR,8007_Day_A,Y
upsert,2020_8007_HR11_Day_B,8007,2020_8007_HR11,8007_Sched_2020,8007_HR,8007_Day_B,Y
upsert,2020_8007_HR11_Day_C,8007,2020_8007_HR11,8007_Sched_2020,8007_HR,8007_Day_C,Y
upsert,2020_8007_HR11_Day_D,8007,2020_8007_HR11,8007_Sched_2020,8007_HR,8007_Day_D,Y
upsert,2020_8007_HR11_Day_E,8007,2020_8007_HR11,8007_Sched_2020,8007_HR,8007_Day_E,Y
upsert,2020_8007_HR11_Day_F,8007,2020_8007_HR11,8007_Sched_2020,8007_HR,8007_Day_F,Y
upsert,2020_8007_HR12_HR13_Day_A,8007,2020_8007_HR12_HR13,8007_Sched_2020,8007_HR,8007_Day_A,Y
upsert,2020_8007_HR12_HR13_Day_B,8007,2020_8007_HR12_HR13,8007_Sched_2020,8007_HR,8007_Day_B,Y
upsert,2020_8007_HR12_HR13_Day_C,8007,2020_8007_HR12_HR13,8007_Sched_2020,8007_HR,8007_Day_C,Y
upsert,2020_8007_HR12_HR13_Day_D,8007,2020_8007_HR12_HR13,8007_Sched_2020,8007_HR,8007_Day_D,Y
upsert,2020_8007_HR12_HR13_Day_E,8007,2020_8007_HR12_HR13,8007_Sched_2020,8007_HR,8007_Day_E,Y
upsert,2020_8007_HR12_HR13_Day_F,8007,2020_8007_HR12_HR13,8007_Sched_2020,8007_HR,8007_Day_F,Y
upsert,2020_8008_HR7_HR8_Day_A,8008,2020_8008_HR7_HR8,8008_Sched_2020,8008_HR,8008_Day_A,Y
upsert,2020_8008_HR7_HR8_Day_B,8008,2020_8008_HR7_HR8,8008_Sched_2020,8008_HR,8008_Day_B,Y
upsert,2020_8008_HR7_HR8_Day_C,8008,2020_8008_HR7_HR8,8008_Sched_2020,8008_HR,8008_Day_C,Y
upsert,2020_8008_HR7_HR8_Day_D,8008,2020_8008_HR7_HR8,8008_Sched_2020,8008_HR,8008_Day_D,Y
upsert,2020_8008_HR7_HR8_Day_E,8008,2020_8008_HR7_HR8,8008_Sched_2020,8008_HR,8008_Day_E,Y
upsert,2020_8008_HR7_HR8_Day_F,8008,2020_8008_HR7_HR8,8008_Sched_2020,8008_HR,8008_Day_F,Y
upsert,2020_8008_HR9_Day_A,8008,2020_8008_HR9,8008_Sched_2020,8008_HR,8008_Day_A,Y
upsert,2020_8008_HR9_Day_B,8008,2020_8008_HR9,8008_Sched_2020,8008_HR,8008_Day_B,Y
upsert,2020_8008_HR9_Day_C,8008,2020_8008_HR9,8008_Sched_2020,8008_HR,8008_Day_C,Y
upsert,2020_8008_HR9_Day_D,8008,2020_8008_HR9,8008_Sched_2020,8008_HR,8008_Day_D,Y
upsert,2020_8008_HR9_Day_E,8008,2020_8008_HR9,8008_Sched_2020,8008_HR,8008_Day_E,Y
upsert,2020_8008_HR9_Day_F,8008,2020_8008_HR9,8008_Sched_2020,8008_HR,8008_Day_F,Y
upsert,2020_8008_HR10_Day_A,8008,2020_8008_HR10,8008_Sched_2020,8008_HR,8008_Day_A,Y
upsert,2020_8008_HR10_Day_B,8008,2020_8008_HR10,8008_Sched_2020,8008_HR,8008_Day_B,Y
upsert,2020_8008_HR10_Day_C,8008,2020_8008_HR10,8008_Sched_2020,8008_HR,8008_Day_C,Y
upsert,2020_8008_HR10_Day_D,8008,2020_8008_HR10,8008_Sched_2020,8008_HR,8008_Day_D,Y
upsert,2020_8008_HR10_Day_E,8008,2020_8008_HR10,8008_Sched_2020,8008_HR,8008_Day_E,Y
upsert,2020_8008_HR10_Day_F,8008,2020_8008_HR10,8008_Sched_2020,8008_HR,8008_Day_F,Y
upsert,2020_8008_HR11_HR13_Day_A,8008,2020_8008_HR11_HR13,8008_Sched_2020,8008_HR,8008_Day_A,Y
upsert,2020_8008_HR11_HR13_Day_B,8008,2020_8008_HR11_HR13,8008_Sched_2020,8008_HR,8008_Day_B,Y
upsert,2020_8008_HR11_HR13_Day_C,8008,2020_8008_HR11_HR13,8008_Sched_2020,8008_HR,8008_Day_C,Y
upsert,2020_8008_HR11_HR13_Day_D,8008,2020_8008_HR11_HR13,8008_Sched_2020,8008_HR,8008_Day_D,Y
upsert,2020_8008_HR11_HR13_Day_E,8008,2020_8008_HR11_HR13,8008_Sched_2020,8008_HR,8008_Day_E,Y
upsert,2020_8008_HR11_HR13_Day_F,8008,2020_8008_HR11_HR13,8008_Sched_2020,8008_HR,8008_Day_F,Y
